location,neighborhood,latitude,longitude
Bloomington,Alexander Estates,40.4631489,-89.02465725139234
Bloomington,Breckenridge Village,40.4646838,-88.92244521741823
Bloomington,Breckenwood Ct,40.462835999999996,-88.92242809109841
Bloomington,Brookridge,40.46374084999999,-88.94640782227488
Bloomington,Cedar Ridge,40.45826,-89.01922
Bloomington,Cherrywood Hilltop,40.495728,-88.960334
Bloomington,Colton,40.484124,-88.97772
Bloomington,Crestwicke,40.4104869,-88.96561406117652
Bloomington,Downtown Bloomington,40.4811087,-88.99428777208738
Bloomington,Dry Grove,40.4897641,-88.8937389
Bloomington,Dunraven,40.4530969,-88.9084429
Bloomington,Eagle Creek Drive,40.4983622,-88.9218021
Bloomington,Eagle Crest,40.51227969999999,-88.9170620461183
Bloomington,Eagle Ridge,40.51379005,-88.92842359798024
Bloomington,Eagle View,40.514426799999995,-88.9011587067983
Bloomington,Eastmoor,40.493786,-88.92644915826146
Bloomington,East Olive,40.477057,-88.9780314
Bloomington,E Grove St,40.4780211,-88.9845311
Bloomington,Empire,40.4899366,-88.95726944372214
Bloomington,Evergreen-Winchester,40.47862485,-88.93883726076567
Bloomington,Fairway Knolls,40.4923098,-88.96014088250664
Bloomington,Fleetwood,40.49736985,-88.96445053293475
Bloomington,Franklin Park,40.4862775,-88.98992506901739
Bloomington,Gaelic Place,40.46211715,-88.93068173322752
Bloomington,Garling Heights,40.51500925,-88.9407420441548
Bloomington,Golden Eagle South,40.4965593,-88.91856542060772
Bloomington,Harvest Pointe,40.49006265,-88.89619657213831
Bloomington,Hawthorne Hills,40.50557085,-88.91818484065533
Bloomington,Hawthorne II,40.5065534,-88.90839722004172
Bloomington,Hedgewood,40.5072023,-88.93631332874415
Bloomington,Hershey Grove,40.45603935,-88.93946306375327
Bloomington,Hershey Road,40.5029145,-88.9386595
Bloomington,Hollycrest,40.461516,-89.010741
Bloomington,Hummingbird Way,40.492333,-88.910842
Bloomington,Indian Hills,40.494817999999995,-88.97577010201897
Bloomington,Lakeside,40.467975949999996,-88.97424760861168
Bloomington,McGraw Park,40.4944209,-88.92003056514781
Bloomington,Miller Park,40.4672147,-89.00352327713848
Bloomington,North Pointe,40.51548775,-88.93525208393027
Bloomington,Oakridge,40.4682904,-88.93517840993547
Bloomington,Old Farm Lakes,40.469860249999996,-88.9281698687004
Bloomington,Prairie View South,40.4605026,-88.92239872080198
Bloomington,Rollingbrook Park,40.4701538,-88.94161931216578
Bloomington,Rollingbrook South,40.461445999999995,-88.94026971189686
Bloomington,Royal Links,40.51568015,-88.92062027485042
Bloomington,Royal Pointe,40.4926797,-88.9311693602998
Bloomington,Sapphire Lake,40.497299600000005,-88.91014638457915
Bloomington,Stonebridge Court,40.463325999999995,-88.93369603858275
Bloomington,Summerfield,40.508054400000006,-88.94023475519202
Bloomington,Tipton Trails,40.506502350000005,-88.9294091913886
Bloomington,Turnberry,40.49974,-89.012172
Bloomington,Waterford Estates,40.475361449999994,-88.93112641828046
Bloomington,White Eagle South,40.46097965,-88.92578328336543
Bloomington,White Oak Park Lake,40.49422005,-89.01501837466634
Bloomington,Wilder Dr,40.469219,-88.92297
Bloomington,Windham Hills,40.500603850000005,-88.91252955753254
